"filename", "language", "ShaderLab", "JSON", "HLSL", "C#", "comment", "blank", "total"
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialBody.cs", "C#", 0, 0, 0, 52, 16, 17, 85
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialBodyGenerator.cs", "C#", 0, 0, 0, 238, 48, 89, 375
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialObservers.cs", "C#", 0, 0, 0, 10, 0, 2, 12
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\CelestialBodyConfig.cs", "C#", 0, 0, 0, 76, 5, 22, 103
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\PhysicalConfig\Physics.cs", "C#", 0, 0, 0, 54, 0, 13, 67
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\PostProc\Ocean\Ocean.cs", "C#", 0, 0, 0, 127, 2, 26, 155
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\MoonShading.cs", "C#", 0, 0, 0, 147, 13, 30, 190
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\PlanetShading.cs", "C#", 0, 0, 0, 173, 1, 31, 205
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\Shading.cs", "C#", 0, 0, 0, 69, 10, 23, 102
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\StarShading.cs", "C#", 0, 0, 0, 76, 6, 27, 109
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\MoonShape.cs", "C#", 0, 0, 0, 75, 2, 17, 94
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\PlanetShape.cs", "C#", 0, 0, 0, 73, 3, 18, 94
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\Shape.cs", "C#", 0, 0, 0, 57, 6, 19, 82
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\StarShape.cs", "C#", 0, 0, 0, 42, 1, 14, 57
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\StarSystemConfig.cs", "C#", 0, 0, 0, 23, 6, 11, 40
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Editor\GeneratorEditor.cs", "C#", 0, 0, 0, 163, 7, 34, 204
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\NBodySim.cs", "C#", 0, 0, 0, 10, 2, 5, 17
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Noise\CraterSettings.cs", "C#", 0, 0, 0, 63, 8, 16, 87
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Noise\RidgeNoiseSettings.cs", "C#", 0, 0, 0, 38, 5, 7, 50
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Noise\SimpleNoiseSettings.cs", "C#", 0, 0, 0, 39, 7, 7, 53
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\PostProc\CustomPostProcessing.cs", "C#", 0, 0, 0, 108, 9, 20, 137
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\PostProc\Effects\OceanEffect.cs", "C#", 0, 0, 0, 41, 0, 10, 51
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\PostProc\Effects\PlanetEffect.cs", "C#", 0, 0, 0, 162, 14, 34, 210
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\PostProc\Effects\PostProcEffect.cs", "C#", 0, 0, 0, 16, 0, 8, 24
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Compute\Height\MoonHeight.compute", "HLSL", 0, 0, 27, 0, 10, 14, 51
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Compute\Height\PlanetHeight.compute", "HLSL", 0, 0, 33, 0, 4, 14, 51
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Compute\Height\StarHeight.compute", "HLSL", 0, 0, 13, 0, 0, 3, 16
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Compute\PerturbPoints.compute", "HLSL", 0, 0, 29, 0, 0, 7, 36
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\Craters.cginc", "HLSL", 0, 0, 26, 0, 1, 6, 33
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\FractalNoise.cginc", "HLSL", 0, 0, 198, 0, 20, 36, 254
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\Math.cginc", "HLSL", 0, 0, 80, 0, 41, 15, 136
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\SimplexNoise.cginc", "HLSL", 0, 0, 112, 0, 43, 36, 191
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\SimplexNoise2.cginc", "HLSL", 0, 0, 257, 0, 124, 59, 440
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\SimplexNoise3.cginc", "HLSL", 0, 0, 79, 0, 28, 23, 130
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Includes\Triplanar.cginc", "HLSL", 0, 0, 64, 0, 19, 17, 100
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\PostProc\Ocean.shader", "ShaderLab", 114, 0, 0, 0, 10, 26, 150
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Shading\MoonShading.compute", "HLSL", 0, 0, 21, 0, 0, 10, 31
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Shading\PlanetShading.compute", "HLSL", 0, 0, 31, 0, 5, 12, 48
