Date : 2025-03-26 00:32:26
Directory : c:\Users\markg\UnityProjects\SolSys Project
Total : 84 files,  8510 codes, 830 comments, 2039 blanks, all 11379 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |         44 |      3,420 |        375 |        900 |      4,695 |
| ShaderLab |         19 |      2,907 |        125 |        766 |      3,798 |
| HLSL      |         18 |      1,429 |        330 |        369 |      2,128 |
| JSON      |          3 |        754 |          0 |          4 |        758 |
+-----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         84 |      8,510 |        830 |      2,039 |     11,379 |
| Assets                                                                                                                  |         82 |      7,911 |        830 |      2,037 |     10,778 |
| Assets\Scripts                                                                                                          |         61 |      4,821 |        716 |      1,260 |      6,797 |
| Assets\Scripts (Files)                                                                                                  |          2 |        120 |         16 |         34 |        170 |
| Assets\Scripts\Celestial Bodies                                                                                         |         43 |      3,504 |        529 |        905 |      4,938 |
| Assets\Scripts\Celestial Bodies (Files)                                                                                 |          6 |        481 |         83 |        158 |        722 |
| Assets\Scripts\Celestial Bodies\Config                                                                                  |         12 |        992 |         55 |        251 |      1,298 |
| Assets\Scripts\Celestial Bodies\Config (Files)                                                                          |          2 |         99 |         11 |         33 |        143 |
| Assets\Scripts\Celestial Bodies\Config\PhysicalConfig                                                                   |          1 |         54 |          0 |         13 |         67 |
| Assets\Scripts\Celestial Bodies\Config\PostProc                                                                         |          1 |        127 |          2 |         26 |        155 |
| Assets\Scripts\Celestial Bodies\Config\PostProc\Ocean                                                                   |          1 |        127 |          2 |         26 |        155 |
| Assets\Scripts\Celestial Bodies\Config\Shading                                                                          |          4 |        465 |         30 |        111 |        606 |
| Assets\Scripts\Celestial Bodies\Config\Shape                                                                            |          4 |        247 |         12 |         68 |        327 |
| Assets\Scripts\Celestial Bodies\Editor                                                                                  |          1 |        163 |          7 |         34 |        204 |
| Assets\Scripts\Celestial Bodies\Noise                                                                                   |          3 |        140 |         20 |         30 |        190 |
| Assets\Scripts\Celestial Bodies\PostProc                                                                                |          4 |        327 |         23 |         72 |        422 |
| Assets\Scripts\Celestial Bodies\PostProc (Files)                                                                        |          1 |        108 |          9 |         20 |        137 |
| Assets\Scripts\Celestial Bodies\PostProc\Effects                                                                        |          3 |        219 |         14 |         52 |        285 |
| Assets\Scripts\Celestial Bodies\Shaders                                                                                 |         17 |      1,401 |        341 |        360 |      2,102 |
| Assets\Scripts\Celestial Bodies\Shaders\Compute                                                                         |          4 |        102 |         14 |         38 |        154 |
| Assets\Scripts\Celestial Bodies\Shaders\Compute (Files)                                                                 |          1 |         29 |          0 |          7 |         36 |
| Assets\Scripts\Celestial Bodies\Shaders\Compute\Height                                                                  |          3 |         73 |         14 |         31 |        118 |
| Assets\Scripts\Celestial Bodies\Shaders\Includes                                                                        |          7 |        816 |        276 |        192 |      1,284 |
| Assets\Scripts\Celestial Bodies\Shaders\PostProc                                                                        |          1 |        114 |         10 |         26 |        150 |
| Assets\Scripts\Celestial Bodies\Shaders\Shading                                                                         |          2 |         52 |          5 |         22 |         79 |
| Assets\Scripts\Celestial Bodies\Shaders\Surface                                                                         |          3 |        317 |         36 |         82 |        435 |
| Assets\Scripts\Game                                                                                                     |          9 |        576 |         57 |        175 |        808 |
| Assets\Scripts\Game (Files)                                                                                             |          1 |         81 |          5 |         26 |        112 |
| Assets\Scripts\Game\Lighting                                                                                            |          1 |         14 |          0 |          2 |         16 |
| Assets\Scripts\Game\Physics                                                                                             |          4 |        325 |         37 |        106 |        468 |
| Assets\Scripts\Game\UI                                                                                                  |          3 |        156 |         15 |         41 |        212 |
| Assets\Scripts\Testing                                                                                                  |          2 |        118 |         22 |         50 |        190 |
| Assets\Scripts\Utils                                                                                                    |          5 |        503 |         92 |         96 |        691 |
| Assets\Shaders                                                                                                          |          1 |         75 |          3 |         19 |         97 |
| Assets\TextMesh Pro                                                                                                     |         20 |      3,015 |        111 |        758 |      3,884 |
| Assets\TextMesh Pro\Shaders                                                                                             |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets\TextMesh Pro\Sprites                                                                                             |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                                |          2 |        599 |          0 |          2 |        601 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                                | language  | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialBody.cs                            | C#        |         52 |         16 |         17 |         85 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialBodyGenerator.cs                   | C#        |        238 |         48 |         89 |        375 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\CelestialObservers.cs                       | C#        |         10 |          0 |          2 |         12 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\CelestialBodyConfig.cs               | C#        |         76 |          5 |         22 |        103 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\PhysicalConfig\Physics.cs            | C#        |         54 |          0 |         13 |         67 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\PostProc\Ocean\Ocean.cs              | C#        |        127 |          2 |         26 |        155 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\MoonShading.cs               | C#        |        147 |         13 |         30 |        190 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\PlanetShading.cs             | C#        |        173 |          1 |         31 |        205 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\Shading.cs                   | C#        |         69 |         10 |         23 |        102 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shading\StarShading.cs               | C#        |         76 |          6 |         27 |        109 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\MoonShape.cs                   | C#        |         75 |          2 |         17 |         94 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\PlanetShape.cs                 | C#        |         73 |          3 |         18 |         94 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\Shape.cs                       | C#        |         57 |          6 |         19 |         82 |
| c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Config\Shape\StarShape.cs                   | C#        |         42 |          1 |         14 |         57 |
